entity_num,alt_num,alt_type,alt_name,alt_remarks
18711,29300.0,aka,PS YANDEKS.DENGI OOO,-0- 
18714,29307.0,aka,BPS SBERBANK OJSC,-0- 
18714,29308.0,aka,BPS-SBERBANK OAO,-0- 
18714,55013.0,aka,SBER BANK,-0- 
18715,29310.0,aka,SUBSIDIARY BANK SBERBANK OF RUSSIA PUBLIC JOINT STOCK COMPANY,-0- 
18715,29311.0,aka,SBERBANK OF RUSSIA SUBSIDIARY BANK PUBLIC JOINT STOCK COMPANY,-0- 
18715,29312.0,aka,PUBLICHNE AKTSIONERNE TOVARYSTVO DOCHIRNII BANK SBERBANKU ROSII,-0- 
18715,29313.0,aka,JSC SBERBANK OF RUSSIA,-0- 
18715,29314.0,fka,SBERBANK OF RUSSIA SUBSIDIARY BANK PRIVATE JOINT STOCK COMPANY,-0- 
18715,55008.0,aka,JSC SBERBANK,-0- 
18715,55010.0,aka,AKTSIONERNE TOVARYSTVO SBERBANK,-0- 
18719,29321.0,aka,BANK VTB 24 PUBLICHNOE AKTSIONERNOE OBSHCHESTVO,-0- 
18719,29322.0,aka,VTB 24 PAO,-0- 
18719,29323.0,aka,BANK VTB 24 CLOSED JOINT STOCK COMPANY,-0- 
18719,29324.0,aka,VTB 24 JSC,-0- 
18719,29325.0,fka,BANK VTB 24 (ZAKRYTOE AKTSIONERNOE OBSHCHESTVO),-0- 
18720,29327.0,aka,"VTB BANK, PUBLIC JOINT STOCK COMPANY",-0- 
18720,29328.0,aka,PUBLICHNE AKTSIONERNE TOVARYSTVO VTB BANK,-0- 
18720,29329.0,aka,"VTB BANK, PJSC",-0- 
18720,29330.0,aka,"VTB BANK, PJSC (UKRAINE)",-0- 
18720,29331.0,aka,PUBLIC-JOINT STOCK COMPANY VTB BANK (UKRAINE),-0- 
18721,29333.0,aka,VTB BANK BELARUS CLOSED JOINT STOCK COMPANY,-0- 
18721,29334.0,aka,VTB BANK BELARUS,-0- 
18721,29335.0,aka,CJSC VTB BANK BELARUS,-0- 
18721,29336.0,fka,CJSC SLAVNEFTEBANK,-0- 
18721,54976.0,aka,VTB BANK BELARUS CJSC,-0- 
18722,29339.0,fka,SAVINGS BANK OF THE REPUBLIC OF ARMENIA,-0- 
18722,54971.0,aka,VTB BANK ARMENIA CJSC,-0- 
18723,54967.0,aka,BANK VTB KAZAKHSTAN JSC,-0- 
18723,54968.0,aka,SUBSIDIARY JSC BANK VTB KAZAKHSTAN,-0- 
18723,54969.0,aka,JOINT STOCK COMPANY VTB BANK KAZAKHSTAN,-0- 
18724,29344.0,aka,BANK VTB AZERBAIJAN OJSC,-0- 
18724,29345.0,aka,JSC VTB BANK AZERBAIJAN,-0- 
18724,29346.0,fka,OJSC AF BANK,-0- 
18725,29348.0,aka,VTB AFRICA,-0- 
18726,29353.0,aka,JSC VTB BANK GEORGIA,-0- 
18726,54974.0,aka,VTB BANK GEORGIA JSC,-0- 
18728,29358.0,aka,VTB BANKA AD BEOGRAD,-0- 
18728,30278.0,fka,MOSKOVSKA BANKA AD,-0- 
18729,29361.0,aka,KHOLDING VTB KAPITAL ZAKRYTOE AKTSIONERNOE OBSHCHESTVO,-0- 
18729,29362.0,aka,HOLDING VTB CAPITAL CJSC,-0- 
18729,29363.0,aka,VTB CAPITAL HOLDING ZAO,-0- 
18729,54972.0,aka,VTB CAPITAL HOLDING CJSC,-0- 
18729,54973.0,aka,VTB CAPITAL JSC,-0- 
18729,77194.0,aka,VTB CAPITAL HONG KONG LIMITED,-0- 
18730,29365.0,aka,VTB PENSION ADMINISTRATOR LTD,-0- 
18730,29366.0,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU VTB PENSIONNY ADMINISTRATOR,-0- 
18730,29367.0,aka,VTB PENSIONNY ADMINISTRATOR OOO,-0- 
18731,54980.0,aka,LLC VTB DC,-0- 
18731,54981.0,aka,VTB DC LIMITED,-0- 
18731,54982.0,aka,VTB DC LTD,-0- 
18732,29371.0,aka,VTB STRAKHOVANIE STRAKHOVAYA KOMPANIYA OOO,-0- 
18732,29372.0,aka,VTB STRAKHOVANIE SK OOO,-0- 
18732,29373.0,aka,"INSURANCE COMPANY VTB-INSURANCE, LTD",-0- 
18732,29374.0,aka,INSURANCE COMPANY VTB-INSURANCE LIMITED,-0- 
